abbreviation,japanese,english
AIOD,大動脈腸骨動脈閉塞症,Aortoiliac occlusive disease
AION,前部虚血性視神経症,Anterior ischemic optic neuropathy
AIP,アルドステロン誘導蛋白,Aldosterone-induced protain
AIVR,頻脈性心室調律,Accelerated idioventricular rhythm
AJ,アキレス腱反射,Ankle jerk
AK,人工腎臓,Artificial kidney
AKBR,動脈血中ケトン体比,Arterial ketone body ratio
AL,急性白血病,Acute leukemia
Alb,アルブミン,Albumin
ALI,アルゴンレーザー虹彩切開(術),Argon laser iridotomy
ALL,急性リンパ芽球性白血病,Acute lymphoblastic leukemia
ALP,下垂体前葉,Anterior lobe of pituitary
ALRI,前外方回旋不安定性,Anterolateral rotatory instability
ALS,筋萎縮性側索硬化症,Amyotrophic lateral sclerosis
AM,アメーバ性髄膜脳炎,Amebic meningoencephalitis
Am,近視性乱視,Astigmatismus myopicus
AMC,上腕筋囲,Arm muscle circumference
AME,アメーバ性髄膜脳炎,Amebic meningoencephalitis
AMI,急性心筋梗塞,Acute myocardial infarction
AML,急性骨髄芽球性白血病,Acute myeloblastic leukemia
AMMoL,急性骨髄単球性白血病,Acute myelomonocytic leukemika
AMN,副腎脊髄ニューロパチー,Adrenomyeloneuropathy
Amp,切断,Amputation
AMR,交代運動率,Alternating motion rate
AMRI,前内方回旋不安定性,Anteromedial rotatory instability
AMS,急性高山病,Acute mountain sickness
ANF,心房性ナトリウム利尿因子,Atrial Natriuretic Factor
Angio、angio,血管造影,angiography
ANLL,急性非リンパ性白血病,Acute Non-Lymphocytic Leukemia
ANM,問診,
ANP,心房性ナトリウム利尿ペプチド,Atrial Natriuretic Peptide
ant,前方の,anterior
AO,環椎後頭骨の,Atlanto-Occipital
Ao,大動脈,Aorta
AOC,急性閉塞性胆管炎,Acute Obstructive Cholangitis
AOD,大動脈径,Aorta Diameter
AOF,大動脈内血流量,Aortic Flow
AOG,大動脈造影(法）,Aortography
AoP,大動脈圧,Aortic Pressure
AOSC,急性閉塞性化膿性胆管炎,Acute Obstructive Suppurative Cholangitis
AoV,大動脈弁,Aortic Valve
AP,下垂体前葉,AntePituitaryrior
A-P,前後撮影、腹背撮影,Antero-Posterior(view、projection)
A&P,聴診および打診,Auscultation and Percussion
ap,夕食前,
APA,アルドステロン産生腺腫,Aidosterone Producing Adenoma
APAT,アンドロゲン産生副腎腫瘍,Androgen Producing Adrenal Tumor
APB,心房期外収縮,Atrial Premature Beat
a-PBC,無症候性原発性胆汁性肝硬変,Asymptomatic Primary Biliary Cirrhosis
APBD,膵管胆道合流異常,Anomalous Arrangement of Pancreaticobiliary Ducts
APC,心房期外収縮,Atrial Premature Contraction
APCD、APD,成人型嚢胞腎,Adult Type Polycystic Disease
APD,前後径,Anteroposterior Diameter
APDL,日常生活関連動作,Activities Parallel to Daily Living
APGAR score,アプガースコア,Appearance-Pulse-Grimase-Activity-Respiration score
APH,下垂体前葉ホルモン,Anterior Pituitary Hormone
APH、aph,失語（症）,Aphasia
API,足背動脈収縮期血圧指標,Ankle Pressure Index
APIS,左横隔動脈,
APL,急性前骨髄芽球性白血病,Acute Promyeloblastic Leukemia
APN,急性腎盂腎炎,Acute Pyelonephritis
APO,脳卒中後遺症,
APO、Apo,脳卒中,apoplexy
APP,虫垂切除術,Appendectomy
app、App(e),虫垂、虫垂炎,
AProL,急性前骨髄性白血病,Acute Promyelocytic Leukemia
APS,心房性早期収縮,Atrial Premature Systole
APSD,大動脈肺動脈中隔欠損症,Aorticopulmonary Septal Defect
APSGN,急性連鎖球菌感染後糸球体腎炎,Acute Poststreptococcal Glomerulonephritis
APTT,活性化部分トロンボプラスチン時間,Activated Partial Thromboplastin Time
aq dest,蒸留水,
Aq puri,精製水,
AR,前方切除術,Anterior Resection
ARD,急性呼吸器疾患,Acute Respiratory Disease
ARF,急性呼吸不全,Acute Respiratory Failure
ARM,人工破水,Artifical Rupture of Memnrane
ARN,急性網膜壊死,Acute Retinal Necrosis
ARP,絶対不応期,Absolute Refractory Period
ARPKD,常染色体劣性遺伝型多発性嚢胞腎,Autosomal Recessive Polycystic Kidney Disease
ARS,急性放射線症候群,Acute Radiation Syndrome
art,関節(単数）,Articulation
artt,関節（複数）,
ARVD,不整脈原(源）性右室異形成(症）,Arrhythmogenic Right Ventricular Dysplasia
AS,アストラップ法,Astrup Method
ASC,鎖骨下動脈,
ASC AO、asc Ao,上大静脈,
ASCVD,動脈硬化性心血管疾患,Arteriosclerotic Cardiovascular Disease
ASD,心房中隔欠損(症）,Atrial Septal Defect
ASDH,急性硬膜下血腫,Acute Subdural Hematoma
ASF,脊髄前方固定,Anterior Spinal Fusion
ASH,強直性脊椎骨増殖症,Ankylosing Spinal Hyperostosis
ASHD,アテローム硬化性動脈心疾患,Atherosclerotic Heart Disease
ASI,大動脈弁狭窄兼閉鎖不全症,Aortic Stenoinsufficiency
ASLE,急性全身性エリテマトーデス,Acute Systemic Lupus Erythematosus
ASO,閉塞性動脈硬化症,Arteriosclerosis Obliterans
ASPD,前上膵十二指腸動脈,Anterior Superior Pancreatico-Duodenal Artery
ASR,大動脈弁狭窄兼閉鎖不全症,Aortic Stenosis and Regurgitation
Ast,乱視,Astigmatism
Asth,眼精疲労,Asthenopia
AT,アトロピン,Atropine
A&T,アデノイド切除(術）と扁桃摘出(術),Adenoidectomy and Tonsillectomy
ATD,アルツハイマー型痴呆,Alzheimer-Type Dementia
ATH,腹式子宮全摘(術),Abdominal Total Hysterectomy
ATL,三尖弁前尖,Anterior Tricuspid Leaflet
ATM,急性横断性脊髄症,Acute Transverse Myelopathy
ATN,急性尿細管壊死,Acute Tubular Necrosis
ATP,アデノシン三リン酸,Adenosine Triphosphate
ATPA,前視床穿通動脈,Anterior Thalamoperforating Artery
ATPS,室温、大気圧、水蒸気飽和状態,Ambient Temperature and Pressure、Saturated with watar vapor
Atr、atr,萎縮,Atrophy
ATSD,アルツハイマー型老年痴呆,Alzheimer-Type Senile Demantia
AUL,分類不能の急性リンパ性白血病,Acute Unclassified Leukemia、Acute Undifferentiated leukemia
AV,奇静脈,Azygos Vein
Av,アデノイド、腺様増殖症,Adenoid Vegatation
A-V,動静脈口径比,Arterio-Venous(ratio)
AVA,動静脈吻合,Arteriovenous Anastomosis
AVB、A-VB,房室ブロック,Atrioventricular Block
AVC,心室内変行伝導,Aberrant Ventricular Conduction
AVCD,房室管孔欠損,Atrio-Ventricular Canal Defect
AVD,房室解離,Atrio-Ventricular Dissociation
a-vDo2,混合静脈血酸素含量較差,Arteriovenous Oxygen Content Difference
AVF,動静脈瘻,Arteriovenous Fistula
aVF,左足増高単極肢誘導,Augmented Vector of Left Foot
avg,平均,Average
AVH,急性ウイルス性肝炎,Acute Viral Hepatitis
aVL,左手増高単極肢誘導,Augmented Vector of Left Arm
AVM,動静脈奇形,Arteriovenous Malformation
AVN,房室結節,Atrioventricular Node
AVNRT,房室結節リエントリー性頻拍,Atrioventricular Nodal Reentrant Tachycardia
AVP,大動脈弁形成術,Aortic Valvuloplasty
AVR,大動脈弁置換,Aortic Valve Replacement
aVR,右手増高単極肢誘導,Augmented Vector of Right Arm Atrio-Ventricular Valve
AVV,房室弁,Atrio-Ventricular Valve
Ax,腋窩,
B,血液,Blood
BⅠ,ビルロート第Ⅰ法,Billroth　Type　Ⅰ　Method
BⅡ,ビルロート第Ⅱ法,Billroth　Type　Ⅱ　Method
BA,気管支喘息,Bronchial　Asthma
Ba,バリウム,Barium
BAE,気管支動脈塞栓術,Bronchial　Arterial　Embolization
BAG,気管支動脈造影法,Bronchial　Angiography
BAL,気管支肺胞洗浄,Broncho　Alveolar　Lavage
BALF,気管支肺胞洗浄液,Broncho　Alveolar　Lavage　Fluid
BALT,気管支関連リンパ組織,Bronchus　Assosiated　Lymphoid　Tissue
BAS,バルーン心房中隔裂開術,Bolloon　Atrioseptostmy
BB,緩衝塩基,Buffer　Bace
BBB,脚ブロック,Bunble　Branch　Block
BBO,閉塞性気管支細気管支炎,Bronchobronchiolitis　Obliterans
BBT,基礎体温,Basal　Body　Temperature
BC,骨導,Bone　Condustion
BCC,基底細胞癌,Basal　Cell　Carcinoma
BCD,ブレオマイシン　シクロフォスファミド　ダクチノマイシン併用化学療法,Bleomycin　Cyclophospamide　Dacctiomycin
BCE,基底細胞上皮腫,Basal　Cell　Epithelioma
BCECT,良性小児てんかん,Benign　Chilgfood　Epilepsy　With　Centro-Tenporal　Spike
BCM,体細胞量,Body　Cell　Mass
BCO,血液一酸化炭素,Blood　Crabon　Monoxide
BCO2,血液二酸化炭素,Blood　Crabon　Dioxide
BCU,熱傷集中治療室,Burn　Care　Unit
BCV,二層性キュイラス換気法,
BE,塩基過剰,Base　Excess
BEAM,脳電気活動図,Brain　Electrical　Activity　Map
BEAR,聴性脳幹反応,Brainstem　Evoked　Auditory　Response
BEE,基礎エネルギー消費量,Basic　Energy　Expenditure
BEH,良性頭蓋内圧亢進症,Benign　Essential　Hypertension
BEP,脳誘発電位,Brain-Evoked　Potential
BERA,脳幹電気反応聴力検査,Brainstem　Electic　Response　Audiometry
BET,良性上皮性腫瘍,Benign　Epithelial　Tumor
BF,気管支ファイバースコープ検査,Bronchofiberscopy
BFP（R）,生物学的偽陽性,Biological　False　Positive　（Reaction)
BFS,気管支ファイバースコープ,Bronchofiberscop
BG,気管支造影法,Broncography
BGA,血液ガス分析,Blood　Gas　Analysis
BHL,両側性肺門リンパ節腫脹,Bilateral　Hilar　Lymphadenopathy
BI,頭蓋内陥入,Basilar　Invagination
BID,入院時すでに死亡（死亡入院）,Brought In Dead
bid,1日2回,bis in die(ラ）
big,二段脈,bigeminy
BIH,良性頭蓋内圧亢進症,Benign Intracranial Hypertension
Bil,ビリルビン、胆汁色素,Bilirubin
bilat,両側の、左右の,bilateral(ラ）
BIP,ブレオマイシン、イホスファミド、シスプラチンの併用化学療法,Bleomycin、Ifosfamide、cisplatin(CDDP)
BIPAP、BiPAP,二相性持続気道陽圧呼吸,Biphasic Positive Airway Pressure
BJ、BJP,ベンス・ジョーンズ蛋白,Bence Jones Protein
B&J,骨と関節,Bone and Joint
BK amp,下腿切断,Below Knee amputation
BLN,気管支リンパ節,Bronchinal Lynph Node
BLS,一次救命処置,Basic Life Support
BM,基礎代謝,Basal Metabolism
BMI,身長体重指数,Body Mass Index
BMM,骨髄転移,Bone Marrow Metastasis
BMR,基礎代謝率,Basal Metabolic Rate
BMT,骨髄移植,Bone Marrow Transplantation
BNB,血液神経関門,Blood-Nerve Barrier
BNC、BnC,膀胱頸部硬化症,Bladder Neck Contracture
BO,閉塞性細気管支炎,Bronchiolitis Obliterans
BOA,聴性行動反応聴力検査,Behavioral Observation Audiometry
BOAI,バルーン閉塞下動注法,Balloon Occluded Arterial Infusion
BOHA,バルーン閉塞下肝動脈造影(法）,Balloon Occluded Hepatic Arteriography
BOMP,ブレオマイシン、ビンクリスチン（オンコビン）、マイトマイシンＣ、シスプラチンの併用化学療法,Bleomycin、Vincristine(Oncovin)、Mitomycin C、Cisplatin(CDDP)
BOPA,肺血管造影(法）,Balloon Occlusive Pulmonary Angiography
BP,双極性障害、躁うつ病,Bipolar Disorder
BP、Bp,血圧,Blood Pressure
BP、bp,沸点,Boiling Point
BPAG,百日咳凝集反応,Bordetella Pertussis Agglutination
BPD,境界型人格障害,Boederline Personality Disorder
BPH,前立腺肥大症,Benign Prostatic Hypertrophy(hyperplasia)
BPI,上腕神経叢損傷,Brachial Plexus Injury
bpm,1分間の心拍数,beats per minute
BPT,気管支誘発試験,Bronchial Provocation Test
BR,換気予備量,Breathing Reserve
bra(dy),徐脈,bradycardia
BRVO,網膜静脈分岐閉塞症,Branch Retinal Vein Occlusion
BS,血糖,Blood Sugar
BSA,体表面積,Body Surface Area
BSA,乳房自己検査(法）,Breast Self Examination
BSMA,球脊髄性筋萎縮症,Bulbo-Spinal Muscular Atrophy
BSN,看護学士(号）,Bachelor of Science in Nursing
BSR,赤血球沈降速度,Blood Sedimentation Rate
BT,行動療法,Behavioral Therapy
B-T,右鎖骨下動脈-肺動脈吻合術、ブロラック・タウシグシャント,Blalock-Taussig(shunt)
BTF,輸血,Blood Transfusion
BTPS,体温、大気圧、水蒸気飽和状態(肺活量測定時条件）,Body Temperature and Ambient Pressure、Saturated with watervapor
BTS,徐脈頻脈症候群,Bradycardia Tachycardia Syndrome
BV,血管,Blood Vessel
BVH,両室肥大,Biventricular Hypertrophy
BVRV,両大血管右室起始症,Both Great Vessels from Right Ventricle
Bx,生検,Biopsy
C,胃上１/３　部の記号,
C1～７,第１～７頚椎,Cervical　Vertebra
Ⅷ：C,第Ⅷ因子凝固活性,Factor　Ⅷ　Coagulant　Activity
CA,腹腔動脈,Celiac　Artery
CAB,冠動脈バイパス,Coronary　Artery　Bypass　Graftng
CABG,冠状動脈バイパス術,Coronary　Artery　Bypass　Graftng
CaCO2,動脈血二酸化炭素含量,Arterial　Carbon　Dioxide　Content
CAD,冠状動脈疾患,Coronary　Artery　Disease
CAF,シクロフォスファミド　ドキソルビシン　フルオロウラシル併用化学療法,Cyclophosphamide　Doxorubicin（Adriacin)　Fluorouracil
CAG,冠状動脈造影法,Coronary　Angiography
Cal,カロリー,Calorie
CAO,慢性気流閉塞,Chronic　Airflow　Obstruction
CaO2,動脈血酸素濃度,Arterial　Oxygen　Concentration
CAP,中心動脈圧,Central　Arterial　Pressure
CaP,前立腺癌,Carcinoma　Of　The　Prostate
Cap,カプセル,Capsule
CAPD,持続性自己管理腹膜透析,Continuous　Ambulatory　Pertioneal　Dialysis
Car、Carot,頚動脈波,Caroｔid　Pulse　Wave
Cat,白内障,Cataract
CAV,シクロフォスファミド　アクラルビシン　ビンデシン併用化学療法,Cyclophosphamide　Aclabicin　Vindesine
CAVH,持続的動静脈血液濾過,Continuous　Arterio-Venous　Hemofiltration
CB,慢性気管支炎,Chronic　Bronchitis
CBA,先天性胆道閉鎖症,Congenital　Biliary　Atresia
CBC,全血液計算,Complete　Blood　Count
CBCL,皮膚B細胞性リンパ腫,Cutaneous　B-Cell　Lymphoma
CBD,先天性胆道拡張症,Congenital　Biliary　Dilatation
CBDC,小児慢性水疱症,Chronic　Bullous　Dermatosis　Of　Childfood
CBF,冠血流量,Coronary　Blood　Flow
CBL,臍帯血リンパ球,Cord　Blood　Lymphocyte
CBP,慢性細菌性前立腺炎,Choｒnic　Bacterial　Prostatitis
CBR,絶対安静,Complete Bed Rest
CBS,慢性脳症候群,Chronic Brain Syndrome
CBT,認知行動療法,Congnitive Behavior Therapy
CBV,カテーテル・バルーン弁形成(術),Catheter Balloon Valvuloplasty
CC,危篤状態,Critical Condition
CCA,冠状動脈回旋枝,Circumflex Coronary Artery
CCCC,非開胸心マッサージ,Closed Chest Cadiac Compression
CCHD,チアノーゼ性先天性心疾患,Cyanotic Congenital Heart Disease
CCI,外傷性脳障害,Craniocerebral Injuries
CCK,コレシストキニン,Cholecystokinin
CCK-PZ,コレシストキニン・パンクレオザイミン,Cholecystokinin-Pancreozymin
CCM,うっ血性心筋症,Congestive Cardiomyopathy
CCP,慢性肺性心,Chrinic Cor Pulmonare
CCPD,持続式周期的腹膜透析,Continuous Cyclic Peritonael Dialysis
CCPR,脳心肺蘇生法,Cerebro-Cardio-Pulmonary Resuscitation
CCr、Ccr,クレアチニンクリアランス,Creatinine Clearance
CCU,冠疾患集中治療室,Coronary Care Unit
CCVD,慢性脳血管疾患,Chronic Cerebrovascular Disease
CD,帝王切開による出産,Cesarean Delivery
CD50,50％治効量,Median Curative Dose
CDAP,持続陽圧（呼吸）,Continuous Diatending Airway Pressure
CDC,（米国）疾病予防センター,Centers for Disease Control and Prevention
CDH,頚椎椎間板ヘルニア,Cervical Disc Herniation
CDLE,慢性円板状エリテマトーデス、慢性円板状紅斑性狼瘡,Chronic Discoid Lunpus Erythematosus
CDP,持続性陽圧呼吸,Continuous Distending Pressure
CE,脳梗塞症,Cerebral Embolism
Ce,頸部食道,Cervical Esophagus
CEA,癌胎児性抗原,Carcinoembryonic Antigen
CECT,造影CT,Contrast Enhanced CT
CEP,慢性好酸球性肺炎,Chronic Eosinophilic Pneumonia
CEPP[B],シクロホスファミド、エトポシド、プロカルバジン、プレドニゾロン、[＋ブレオマイシン］の併用化学療法,Cyclophosphamide、Etoposide、Procarbazine、Prednisolone[+Bleomycin]
CER,条件情動反応,Conditioned Emotional Response
CES,中枢興奮状態,Central Excitatory State
CF,クリスマス因子、第Ⅸ因子,Christmas Factor
CFS,慢性疲労症候群,Chronic Fatigue Syndrome
CG,絨毛性性腺刺激ホルモン,Chorionic Gonadotropin
CGD,慢性肉芽腫症,Chronic Granulomatous Disease
CGL,慢性顆粒球性白血病,Chronic Granulocytic Leukemia
CGN,慢性糸球体腎炎,Chronic Blomerylonephritis
CGT,絨毛性ゴナドトロピン,Chorionic Gonadotropin
CH(A),総肝動脈,Common Hepatic Artery
CHA,赤血球寒冷凝集反応,Cold Hemagglutination Test
CHAI,肝動脈持続動注療法,Continuous Hepatic Arterial Infusion
CHD,冠状動脈性心疾患,Coronary Heart Disease
CHDF,持続的濾過透析,ContinuousHemodiafiltration
ChE,コリンエステラーゼ,Cholinesterase
Chemo Ther,化学療法,Chemotherapy
CHF,うっ血性心不全,Congestive Heart Failure
CHPP,持続温熱腹膜灌流療法,Contunuous Hyperthermic Peritoneal Perfusion
chpx,水痘,Chickenpox
chr,慢性の,Chronic
CI,化学療法指数,Chemotherapeutic Index
CIA,総腸骨動脈,Common Iliac Artery
CIII,持続静脈内インスリン注入療法,Continuous Intravenous Insulin Infusion
CIIP,慢性特発性腸管仮性閉塞症,Chronic Idiopathic Intestinal Pseudoobstruction
CIN,子宮頸部上皮内腫瘍,Cervical IntraepithelialNeoplasia
CIP,慢性特発性膵炎,Chronic Idiopathic Pancreatitis
CIPD,慢性間歇的腹膜透析（灌流）,Chronic Intermittent Peritoneal Dialtsis
Circ,胃壁全周,Circular wall of stomach
CIRPN,慢性特発性再発性多発ニューロパチー,Chronic Idiopathic Relapsing Polyneuropathy
CIS,上皮内癌,Carcinoma in situ
Cis,シスプラチン,Cisplatin、Fluorouracil
CISCA,シスプラチン、シクロホスファミド、ドキソルビシン（アドリアシン）の併用化学療法,Cisplatin、Cyclophosphamide、Doxorubicin(Adriacin)
CJD,クロイツフェルト・ヤコブ病,Creutzfeldt-Jakob Disease
CK,クレアチンキナーゼ,Creatine Kinase
CK-BB,クレアチンキナーゼBB（脳）型アイソザイム,Creatine Kinase Brain Band
CK-MB,クレアチンキナーゼMB（心筋）型アイソザイム,Creatine Kinase Myocardial Band
CK-MM,クレアチンキナーゼMM（筋）型アイソザイム,Cretine Kinase Muscle Band
CLBBB,完全左脚ブロック,Complete Left Bundle Branch Block
CLD,慢性肝疾患,Chronic Liver Disease
CLL,慢性リンパ性白血病,Chrinic Lynphocytic Leukemia
C-L op,上顎洞根本手術,Caldwell-Luc Operation
CLP,口唇口蓋裂,Cleft Lip Palate
CLSH,黄体刺激ホルモン,Corpus Luteum-Stimulating Hormone
Cman,マンニトール・クリアランス,Mannitol Clearence
CMF,シクロホスファミド、メトトレキサート、フルオロウラシルの併用化学療法,Cyclophosphamide、Methotrexate Fliorouracil
CNG,膀胱内圧曲線、膀胱内圧測定,Cystometrogram、Cystometrography
CML,慢性骨髄性白血病,Chronic Myelocytic(myelogenous、myeloid)Leukemia
CMMoL,慢性骨髄単球性白血病,Chrinic Myelomonocytic Leukemia
C-MOPP,シクロホスファミド＋[ビンクリスチン（オンコビン）、プロカルバジン、プレドニゾロン]の併用化学療法,Cyclophosphamide+[Vincristine(Oncovin)、Procarbazine、Prednizolone]
CMP,膝蓋軟骨軟化症,
CMR,脳代謝率,Cerebral Metabolie Rate
CMRGI、CMRgl,脳ブドウ糖代謝率,Cerebral Metabolic Rate of Glucose
CMRO2,脳酸素代謝率,Cerebral Oxygen Metabolic Rate
CMV,機械的調節呼吸,Controlled Mechanical Ventilation
CN,脳神経,Cranial Nerve
CNAP,慢性非アルコール性膵炎,Chronic Non-Alcoholic Pancreatitis
CNP,持続陰圧呼吸法,Continuous Negative Pressyre
CNSDC,慢性非化膿性破壊性胆管炎,Chrinic Non-Suppurative Destructive Cholangitis
CO,一酸化炭素,Carbon Mnooxide
Co,コンプライアンス,Compliance
CoA,大動脈縮窄（症）,Coarctation of Aorta
Coag T,全血凝固時間,Coagulation Time
COBD,慢性閉塞性気管支疾患,Chronic Obstructive Bronchial Disease
